Model Name                                                   | Supported Methods
----------------------------------------------------------------------------------------------------
models/embedding-gecko-001                                   | Unknown
models/gemini-2.5-flash                                      | Unknown
models/gemini-2.5-pro                                        | Unknown
models/gemini-2.0-flash-exp                                  | Unknown
models/gemini-2.0-flash                                      | Unknown
models/gemini-2.0-flash-001                                  | Unknown
models/gemini-2.0-flash-exp-image-generation                 | Unknown
models/gemini-2.0-flash-lite-001                             | Unknown
models/gemini-2.0-flash-lite                                 | Unknown
models/gemini-2.0-flash-lite-preview-02-05                   | Unknown
models/gemini-2.0-flash-lite-preview                         | Unknown
models/gemini-exp-1206                                       | Unknown
models/gemini-2.5-flash-preview-tts                          | Unknown
models/gemini-2.5-pro-preview-tts                            | Unknown
models/gemma-3-1b-it                                         | Unknown
models/gemma-3-4b-it                                         | Unknown
models/gemma-3-12b-it                                        | Unknown
models/gemma-3-27b-it                                        | Unknown
models/gemma-3n-e4b-it                                       | Unknown
models/gemma-3n-e2b-it                                       | Unknown
models/gemini-flash-latest                                   | Unknown
models/gemini-flash-lite-latest                              | Unknown
models/gemini-pro-latest                                     | Unknown
models/gemini-2.5-flash-lite                                 | Unknown
models/gemini-2.5-flash-image-preview                        | Unknown
models/gemini-2.5-flash-image                                | Unknown
models/gemini-2.5-flash-preview-09-2025                      | Unknown
models/gemini-2.5-flash-lite-preview-09-2025                 | Unknown
models/gemini-3-pro-preview                                  | Unknown
models/gemini-3-flash-preview                                | Unknown
models/gemini-3-pro-image-preview                            | Unknown
models/nano-banana-pro-preview                               | Unknown
models/gemini-robotics-er-1.5-preview                        | Unknown
models/gemini-2.5-computer-use-preview-10-2025               | Unknown
models/deep-research-pro-preview-12-2025                     | Unknown
models/embedding-001                                         | Unknown
models/text-embedding-004                                    | Unknown
models/gemini-embedding-exp-03-07                            | Unknown
models/gemini-embedding-exp                                  | Unknown
models/gemini-embedding-001                                  | Unknown
models/aqa                                                   | Unknown
models/imagen-4.0-generate-preview-06-06                     | Unknown
models/imagen-4.0-ultra-generate-preview-06-06               | Unknown
models/imagen-4.0-generate-001                               | Unknown
models/imagen-4.0-ultra-generate-001                         | Unknown
models/imagen-4.0-fast-generate-001                          | Unknown
models/veo-2.0-generate-001                                  | Unknown
models/veo-3.0-generate-001                                  | Unknown
models/veo-3.0-fast-generate-001                             | Unknown
models/veo-3.1-generate-preview                              | Unknown
models/veo-3.1-fast-generate-preview                         | Unknown
models/gemini-2.5-flash-native-audio-latest                  | Unknown
models/gemini-2.5-flash-native-audio-preview-09-2025         | Unknown
models/gemini-2.5-flash-native-audio-preview-12-2025         | Unknown
